id;title;description;max_score;starter_code;language
1;quart bemuse typewriter;ick shore;12682;blah after;PYTHON
2;hm stabilise wildly;anenst gosh than;24331;teriyaki wherever lest;JAVASCRIPT
3;clearly transparency;while;8399;usually but;C
4;duh amid mountain;nudge ethical;6569;basket;C
5;royal so;but blah while;20405;petty;PYTHON
6;woot;before per;12164;deduction incandescence;JAVA
7;eventually woot;drat;27044;clonk;JAVA
8;override past;yippee hm;5677;and yuck agreeable;CPP
9;psst;ick;20636;shampoo filthy soap;PYTHON
10;warp even;frank affectionate abnormally;9713;easy;C
