id;title;started_at;end_at;duration_time;type;course_id
1;far diligent;2025-11-29T03:39:54;2025-11-29T01:50:49;20784;HOMEWORK;1
2;stealthily scrap so;2025-11-28T14:18:18;2025-11-28T18:54:28;23517;FINAL;2
3;strident;2025-11-29T03:14:02;2025-11-28T09:14:52;25152;ADDINTIONAL;3
4;under;2025-11-28T10:09:18;2025-11-28T09:50:16;15033;HOMEWORK;4
5;deeply excepting;2025-11-28T10:17:25;2025-11-28T14:49:27;15963;FINAL;5
6;knight behold as;2025-11-28T10:45:13;2025-11-28T16:45:21;5277;LAB;6
7;jellyfish;2025-11-28T15:11:55;2025-11-29T04:42:42;2943;HOMEWORK;7
8;amid tarragon;2025-11-28T13:30:07;2025-11-29T01:35:48;29286;QUIZ;8
9;toothpick busily wherever;2025-11-29T02:51:26;2025-11-28T14:58:53;30468;MIDTERM;9
10;tensely shakily digitize;2025-11-28T21:22:35;2025-11-28T22:28:54;3248;FINAL;10
