id;key;description;category
1;wicked;traditionalism queasily scrutinise;EXAM_MANAGEMENT
2;morning;curiously helplessly woot;USER_ACCOUNT_MANAGEMENT
3;across enormously sham;compassionate innocently mooch;USER_ACCOUNT_MANAGEMENT
4;immediately decryption;since incomparable destock;SYSTEM_ADMINISTRATION
5;physical cleverly solidly;broadly mmm;SYSTEM_ADMINISTRATION
6;blowgun;lazily;SUBMISSION_REVIEW
7;integer;apropos gazebo hence;QUESTION_BANK_MANAGEMENT
8;teriyaki;ha without;USER_ACCOUNT_MANAGEMENT
9;even given opposite;trained;COURSE_MANAGEMENT
10;flat;boohoo;SUBMISSION_REVIEW
